121,1,4,18,20,11,17
122,2,5,17,19,12,10
123,3,6,16,18,13,3
124,4,7,15,17,14,16
125,5,8,14,16,15,9
126,6,9,13,15,16,2
127,7,10,12,14,17,15
128,8,11,11,13,18,8
129,9,12,10,12,19,1
130,10,13,9,11,20,14
131,11,1,8,10,1,11
132,12,2,7,9,2,4
133,13,3,6,8,3,17
134,14,4,5,7,4,10
135,15,5,4,6,5,3
136,16,6,3,5,6,16
137,17,7,2,4,7,9
138,18,8,1,3,8,2
139,19,9,20,2,9,15
140,20,10,19,1,10,8
141,1,11,18,20,11,1
142,2,12,17,19,12,14
143,3,13,16,18,13,7
144,4,1,15,17,14,4
145,5,2,14,16,15,17
146,6,3,13,15,16,10
147,7,4,12,14,17,3
148,8,5,11,13,18,16
149,9,6,10,12,19,9
150,10,7,9,11,20,2
151,11,8,8,10,1,15
152,12,9,7,9,2,8
153,13,10,6,8,3,1
154,14,11,5,7,4,14
155,15,12,4,6,5,7
156,16,13,3,5,6,20
157,17,1,2,4,7,17
158,18,2,1,3,8,10
159,19,3,20,2,9,3
160,20,4,19,1,10,16
161,1,5,18,20,11,9
162,2,6,17,19,12,2
163,3,7,16,18,13,15
164,4,8,15,17,14,8
165,5,9,14,16,15,1
166,6,10,13,15,16,14
167,7,11,12,14,17,7
168,8,12,11,13,18,20
169,9,13,10,12,19,13
170,10,1,9,11,20,10
171,11,2,8,10,1,3
172,12,3,7,9,2,16
173,13,4,6,8,3,9
174,14,5,5,7,4,2
175,15,6,4,6,5,15
176,16,7,3,5,6,8
177,17,8,2,4,7,1
178,18,9,1,3,8,14
179,19,10,20,2,9,7
180,20,11,19,1,10,20
181,1,12,18,20,11,13
182,2,13,17,19,12,6
183,3,1,16,18,13,3
184,4,2,15,17,14,16
185,5,3,14,16,15,9
186,6,4,13,15,16,2
187,7,5,12,14,17,15
188,8,6,11,13,18,8
189,9,7,10,12,19,1
190,10,8,9,11,20,14
191,11,9,8,10,1,7
192,12,10,7,9,2,20
193,13,11,6,8,3,13
194,14,12,5,7,4,6
195,15,13,4,6,5,19
196,16,1,3,5,6,16
197,17,2,2,4,7,9
198,18,3,1,3,8,2
199,19,4,20,2,9,15
200,20,5,19,1,10,8
201,1,6,18,20,11,1
202,2,7,17,19,12,14
203,3,8,16,18,13,7
204,4,9,15,17,14,20
205,5,10,14,16,15,13
206,6,11,13,15,16,6
207,7,12,12,14,17,19
208,8,13,11,13,18,12
209,9,1,10,12,19,9
210,10,2,9,11,20,2
211,11,3,8,10,1,15
212,12,4,7,9,2,8
213,13,5,6,8,3,1
214,14,6,5,7,4,14
215,15,7,4,6,5,7
216,16,8,3,5,6,20
217,17,9,2,4,7,13
218,18,10,1,3,8,6
219,19,11,20,2,9,19
220,20,12,19,1,10,12
221,1,13,18,20,11,5
222,2,1,17,19,12,2
223,3,2,16,18,13,15
224,4,3,15,17,14,8
225,5,4,14,16,15,1
226,6,5,13,15,16,14
227,7,6,12,14,17,7
228,8,7,11,13,18,20
229,9,8,10,12,19,13
230,10,9,9,11,20,6
231,11,10,8,10,1,19
232,12,11,7,9,2,12
233,13,12,6,8,3,5
234,14,13,5,7,4,18
235,15,1,4,6,5,15
236,16,2,3,5,6,8
237,17,3,2,4,7,1
238,18,4,1,3,8,14
239,19,5,20,2,9,7
240,20,6,19,1,10,20
241,1,7,18,20,11,13
242,2,8,17,19,12,6
243,3,9,16,18,13,19
244,4,10,15,17,14,12
245,5,11,14,16,15,5
246,6,12,13,15,16,18
247,7,13,12,14,17,11
248,8,1,11,13,18,8
249,9,2,10,12,19,1
250,10,3,9,11,20,14
251,11,4,8,10,1,7
252,12,5,7,9,2,20
253,13,6,6,8,3,13
254,14,7,5,7,4,6
255,15,8,4,6,5,19
256,16,9,3,5,6,12
257,17,10,2,4,7,5
258,18,11,1,3,8,18
259,19,12,20,2,9,11
260,20,13,19,1,10,4
